X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ADDRESS,SCHOOL_NAME,WEBSITE,SCHOOL_TYPE,TYPE,STATUS
-79.7493866446099,43.6730635454101,,,,,,,-1,0,-1,,,1,50 LADORE DR,CENTENNIAL SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7670863453114,43.713262750325,,,,,,,-1,0,-1,,,2,435 RUTHERFORD RD N,ST. JOACHIM E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.8265735888327,43.7209536739387,,,,,,,-1,0,-1,,,3,430 VAN KIRK DR,ST. JOSEPHINE BAKHITA CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7704608689993,43.7396637129624,,,,,,,-1,0,-1,,,4,415 GREAT LAKES DR,HAROLD M. BRATHWAITE S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.7425217754063,43.7735160679679,,,,,,,-1,0,-1,,,5,40 EAGLE PLAINS DR,EAGLE PLAINS P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7778602747467,43.6883027007047,,,,,,,-1,0,-1,,,6,39 SUNSET BLVD,OUR LADY OF FATIMA E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7476597712379,43.7085598714769,,,,,,,-1,0,-1,,,7,39 HERKLEY DR,HAROLD F. LOUGHIN P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7721459521032,43.707026241385,,,,,,,-1,0,-1,,,8,375 CENTRE ST N,ECOLE ELEMENTAIRE CARREFOUR DES JEUNES,http://csviamonde.ca,PUBLIC FRENCH,ELEMENTARY,CURRENT
-79.8369432420368,43.6984024481158,,,,,,,-1,0,-1,,,9,370 BRISDALE DR,BRISDALE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7668476746385,43.7599022383285,,,,,,,-1,0,-1,,,10,365 FATHER TOBIN RD,LOUISE ARBOUR S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.7284280381504,43.7372108052917,,,,,,,-1,0,-1,,,11,1370 WILLIAMS PKY,CHINGUACOUSY S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.6700784289109,43.7820165808774,,,,,,,-1,0,-1,,,12,133 THORNDALE RD,THORNDALE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.730603772983,43.7324422159613,,,,,,,-1,0,-1,,,13,1305 WILLIAMS PKY,JUDITH NYMAN S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.7331354561354,43.7307487330148,,,,,,,-1,0,-1,,,14,1285 WILLIAMS PKY,WILLIAMS PARKWAY SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.763961581656,43.6996335040363,,,,,,,-1,0,-1,,,15,124 VODDEN ST E,ST. ANNE E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7889292317441,43.6964584960459,,,,,,,-1,0,-1,,,16,121 ROYAL ORCHARD DR,ST. MARIA GORETTI E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.8009236032745,43.6696570858104,,,,,,,-1,0,-1,,,17,75 JORDENSEN DR,ST. JEAN-MARIE VIANNEY CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7162674775107,43.7591786417636,,,,,,,-1,0,-1,,,18,60 COTTRELLE BLVD,INNOCENT HEARTS ACADEMY,http://www.edu.gov.on.ca/eng/general/elemsec/privsch/,PRIVATE,SECONDARY,CURRENT
